Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2811,472,283,1248,1982,536,34.1790449606221,1,2,1,1,2,2,1,1573.5459289065
11,2852,494,299,1258,2210,536,38.1268068986143,1,2,1,1,2,2,1,1865.86926726563
12,2881,518,318,1268,2481,536,39.8863523078457,2,2,1,1,2,2,1,2142.76370259336
13,2905,545,326,1279,2805,536,41.8502641810388,2,2,1,1,2,2,1,2390.34205266302
14,2928,575,331,1291,3193,536,44.1331871199282,2,2,1,1,2,2,1,2606.86891686044
15,2950,609,335,1303,3658,536,46.8098893430366,2,2,1,1,2,2,1,2794.87284328963
16,2969,649,338,1315,4209,536,49.9252317814774,3,2,1,1,2,2,1,2958.46228514889
17,2984,697,340,1327,4853,536,53.5190908184628,3,2,1,1,2,2,1,3098.27398382452
18,2996,753,342,1338,5586,536,57.5765128102881,3,2,1,1,2,2,1,3247.14493536321
19,3004,782,343,1348,6384,536,61.7934403349616,3,2,1,1,2,2,1,3385.12138743182
20,3013,886,345,1358,7203,566,65.9804605722261,4,2,2,1,2,2,2,3598.16472842087
21,3020,892,346,1367,7968,567,70.5811982853155,4,2,2,1,2,2,2,3930.20732719542
22,3033,898,350,1378,8648,568,74.1451500348918,4,2,2,1,2,2,2,4376.45613155279
23,3051,903,358,1390,9225,573,77.2604924733327,4,2,2,1,2,2,2,4916.13073110661
24,3072,908,368,1402,9708,585,79.9671019838501,4,2,2,1,2,2,2,5524.79868742551
25,3095,916,379,1415,10112,604,82.3497158807696,4,2,2,1,2,2,2,6183.37331388287
26,3120,927,390,1428,10455,628,84.4781178347124,4,2,2,1,2,2,2,6876.30725296223
27,3146,940,401,1443,10751,654,86.407137872595,4,2,2,1,2,2,2,7591.84979259101
28,3172,955,412,1459,11010,681,88.1716678297278,4,2,2,1,2,2,2,8320.99903017204
29,3199,971,423,1475,11242,708,89.8115840893231,5,2,2,1,2,2,2,9056.93333145872
30,3227,1057,434,1493,11454,755,91.3717475824943,5,2,3,1,2,2,3,9792.395891389
31,3255,1074,445,1511,11644,781,93.2608912371648,5,2,3,1,2,2,3,10524.335040396
32,3283,1091,457,1531,11823,806,94.6615491974878,5,2,3,1,2,2,3,11249.3792980212
33,3311,1108,469,1551,11988,830,95.9874389392882,5,2,3,1,2,2,3,11982.5601370529
34,3338,1125,481,1571,12130,852,97.1837304356495,5,2,3,1,2,2,3,12726.8669877932
35,3365,1142,493,1593,12242,874,98.2404545907686,5,2,3,1,2,2,3,13459.3583750036
36,3393,1160,505,1616,12343,896,99.2573023626757,5,2,3,1,2,2,3,14185.3162935664
37,3420,1177,517,1639,12433,917,100,5,2,3,1,2,2,3,14901.5040828099
38,3446,1194,529,1663,12513,937,100,5,2,3,1,2,2,3,15607.5933174377
39,3471,1211,541,1687,12585,956,100,5,2,3,1,2,2,3,16302.6555299983
40,3495,1286,554,1712,12648,990,100,5,2,4,1,2,2,4,16981.6372827136
41,3518,1303,567,1737,12702,1007,100,5,2,4,1,2,2,4,17649.2395450581
